"","country","happiness_index","sd_ladder","positive_affect","negative_effect","social_support","freedom","corruption","generosity","log_gdp","life_expectancy","region","population","area_sq_ft","population_density","coastline","net_migration","infant_mortality","gdp_capita","literacy","phones","arable_land","crops_land","other_land","climate","birthrate","deathrate","agriculture","industry","service"
"11","Belarus",81,22,149,36,33,131,37,103,58,76,"C.W. OF IND. STATES ",10293011,207600,"49,6","0,00","2,54","13,37",6100,"99,6","319,1","29,55","0,6","69,85","4","11,16","14,02","0,093","0,316","0,591"
"12","Belgium",18,7,57,53,22,53,20,44,21,26,"WESTERN EUROPE                     ",10379067,30528,"340,0","0,22","1,23","4,68",29100,"98,0","462,6","23,28","0,4","76,32","3","10,38","10,27","0,01","0,24","0,749"
"13","Benin",102,149,118,148,153,103,75,116,128,133,"SUB-SAHARAN AFRICA                 ",7862944,112620,"69,8","0,11","0","85",1100,"40,9","9,7","18,08","2,4","79,52","2","38,85","12,22","0,316","0,138","0,546"
"14","Bhutan",95,6,37,98,68,59,25,13,95,104,"ASIA (EX. NEAR EAST)         ",2279723,47000,"48,5","0,00","0","100,44",1300,"42,2","14,3","3,09","0,43","96,48","2","33,65","12,7","0,258","0,379","0,363"
"15","Bolivia",61,71,70,138,93,35,91,104,101,94,"LATIN AMER. & CARIB    ",8989046,1098580,"8,2","0,00","-1,32","53,11",2400,"87,2","71,9","2,67","0,19","97,14","2","23,3","7,53","0,128","0,352","0,52"
"16","Botswana",148,125,87,65,105,60,54,150,66,113,"SUB-SAHARAN AFRICA                 ",1639833,600370,"2,7","0,00","0","54,58",9000,"79,8","80,5","0,65","0,01","99,34","1","23,08","29,5","0,024","0,469","0,507"
"17","Brazil",32,116,69,105,43,84,71,108,70,72,"LATIN AMER. & CARIB    ",188078227,8511965,"22,1","0,09","-0,03","29,61",7600,"86,4","225,3","6,96","0,9","92,15","2","16,56","6,17","0,084","0,4","0,516"
"18","Bulgaria",97,47,117,13,18,115,147,112,56,65,"EASTERN EUROPE                     ",7385367,110910,"66,6","0,32","-4,58","20,55",7600,"98,6","336,3","40,02","1,92","58,06","3","9,65","14,27","0,093","0,304","0,603"
"19","Burkina Faso",115,92,115,117,116,127,47,125,137,136,"SUB-SAHARAN AFRICA                 ",13902972,274200,"50,7","0,00","0","97,57",1100,"26,6","7,0","14,43","0,19","85,38","2","45,62","15,6","0,322","0,196","0,482"
"20","Burundi",145,138,98,126,152,135,23,149,151,135,"SUB-SAHARAN AFRICA                 ",8090068,27830,"290,7","0,00","-0,06","69,29",600,"51,6","3,4","35,05","14,02","50,93","2","42,22","13,46","0,463","0,203","0,334"
"21","Cambodia",109,135,27,142,109,2,94,61,116,102,"ASIA (EX. NEAR EAST)         ",13881427,181040,"76,7","0,24","0","71,48",1900,"69,4","2,6","20,96","0,61","78,43","2","26,9","9,06","0,35","0,3","0,35"
"22","Cameroon",96,131,106,129,129,90,120,91,121,141,"SUB-SAHARAN AFRICA                 ",17340702,475440,"36,5","0,08","0","68,26",1800,"79,0","5,7","12,81","2,58","84,61","2","33,89","13,47","0,448","0,17","0,382"
"23","Canada",9,23,18,49,20,9,11,14,19,8,"NORTHERN AMERICA                   ",33098932,9984670,"3,3","2,02","5,96","4,75",29800,"97,0","552,2","4,96","0,02","95,02","1","10,78","7,8","0,022","0,294","0,684"
"24","Chad",132,139,136,151,141,142,80,106,133,148,"SUB-SAHARAN AFRICA                 ",9944201,1284000,"7,7","0,00","-0,11","93,82",1200,"47,5","1,3","2,86","0,02","97,12","2","45,73","16,38","0,335","0,259","0,406"
